"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 03, 2020","13,742.5","13,587.5","13,832.5","13,437.5","396.59K","1.14%"
"Mar 02, 2020","13,587.5","13,225.0","13,710.0","12,942.5","501.51K","2.47%"
"Feb 28, 2020","13,260.0","13,737.5","13,812.5","13,182.5","537.70K","-3.19%"
"Feb 27, 2020","13,697.5","13,512.5","13,765.0","13,437.5","130.72K","0.79%"
"Feb 26, 2020","13,590.0","13,627.5","13,732.5","13,385.0","572.29K","-0.38%"
"Feb 25, 2020","13,642.5","13,615.0","13,652.5","13,350.0","625.00K","0.15%"
"Feb 24, 2020","13,622.5","13,882.5","13,962.5","13,622.5","465.78K","-1.89%"
"Feb 21, 2020","13,885.0","13,922.5","14,007.5","13,780.0","363.87K","-0.29%"
"Feb 20, 2020","13,925.0","13,720.0","14,012.5","13,705.0","304.19K","1.44%"
"Feb 19, 2020","13,727.5","13,660.0","13,810.0","13,622.5","206.41K","0.48%"
"Feb 18, 2020","13,662.5","13,820.0","13,827.5","13,635.0","210.20K","-1.18%"
"Feb 17, 2020","13,825.0","13,595.0","13,855.0","13,527.5","242.29K","1.64%"
"Feb 14, 2020","13,602.5","13,502.5","13,660.0","13,415.0","240.18K","0.72%"
"Feb 13, 2020","13,505.0","13,610.0","13,677.5","13,497.5","230.22K","-0.72%"
"Feb 12, 2020","13,602.5","13,557.5","13,645.0","13,505.0","211.31K","0.22%"
"Feb 11, 2020","13,572.5","13,302.5","13,632.5","13,257.5","261.68K","2.01%"
"Feb 10, 2020","13,305.0","13,370.0","13,427.5","13,177.5","301.29K","-0.56%"
"Feb 07, 2020","13,380.0","13,420.0","13,450.0","13,225.0","303.65K","-0.32%"
"Feb 06, 2020","13,422.5","13,320.0","13,545.0","13,252.5","470.04K","1.15%"
"Feb 05, 2020","13,270.0","13,167.5","13,352.5","13,095.0","399.20K","0.76%"
"Feb 04, 2020","13,170.0","12,585.0","13,195.0","12,557.5","525.10K","4.71%"
"Feb 03, 2020","12,577.5","12,840.0","12,980.0","12,500.0","688.09K","-1.99%"
"Jan 31, 2020","12,832.5","12,765.0","13,082.5","12,745.0","170.58K","0.71%"
"Jan 30, 2020","12,742.5","13,180.0","13,207.5","12,720.0","185.02K","-3.28%"
"Jan 29, 2020","13,175.0","12,965.0","13,317.5","12,837.5","224.71K","1.37%"
"Jan 28, 2020","12,997.5","13,110.0","13,150.0","12,700.0","254.55K","-0.97%"
"Jan 27, 2020","13,125.0","13,907.5","13,925.0","13,095.0","147.50K","-5.64%"
"Jan 24, 2020","13,910.0","13,800.0","13,917.5","13,630.0","111.59K","0.87%"
"Jan 23, 2020","13,790.0","14,157.5","14,172.5","13,697.5","104.58K","-2.70%"
"Jan 22, 2020","14,172.5","14,097.5","14,225.0","13,912.5","398.53K","0.69%"
