"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 19, 2020","658.28","653.77","664.91","649.50","188.42K","0.69%"
"Dec 18, 2020","653.77","643.19","653.77","634.75","241.20K","1.61%"
"Dec 17, 2020","643.42","637.40","665.40","637.40","277.90K","0.92%"
"Dec 16, 2020","637.55","588.79","637.55","584.90","208.36K","8.28%"
"Dec 15, 2020","588.79","586.28","588.79","582.39","167.40K","0.42%"
"Dec 14, 2020","586.31","590.94","590.94","583.83","182.56K","-0.81%"
"Dec 13, 2020","591.10","568.00","591.10","565.22","230.82K","4.09%"
"Dec 12, 2020","567.90","544.19","567.90","544.19","112.41K","4.40%"
"Dec 11, 2020","543.94","558.70","558.70","541.28","266.21K","-2.59%"
"Dec 10, 2020","558.42","573.57","573.57","558.42","258.54K","-2.64%"
"Dec 09, 2020","573.54","554.94","573.54","548.55","285.16K","3.32%"
"Dec 08, 2020","555.08","591.32","591.32","555.08","246.77K","-6.13%"
"Dec 07, 2020","591.32","601.71","601.71","591.32","165.04K","-1.68%"
"Dec 06, 2020","601.41","596.44","603.27","592.99","192.38K","0.83%"
"Dec 05, 2020","596.44","567.83","596.44","567.83","224.88K","5.07%"
"Dec 04, 2020","567.68","615.95","617.68","567.68","166.24K","-7.84%"
"Dec 03, 2020","615.95","597.88","615.95","597.88","70.23K","3.00%"
"Dec 02, 2020","598.03","585.60","598.03","585.60","194.81K","2.16%"
"Dec 01, 2020","585.41","615.96","615.96","585.41","281.82K","-4.96%"
"Nov 30, 2020","615.96","575.66","615.96","575.66","318.32K","7.05%"
"Nov 29, 2020","575.41","536.19","575.41","536.19","268.21K","7.00%"
"Nov 28, 2020","537.74","518.34","540.07","513.59","238.25K","4.08%"
"Nov 27, 2020","516.68","519.40","519.40","506.55","247.96K","-0.52%"
"Nov 26, 2020","519.40","570.02","570.02","501.45","310.74K","-8.88%"
"Nov 25, 2020","570.02","604.89","604.89","566.52","210.79K","-5.76%"
"Nov 24, 2020","604.89","609.08","617.89","595.49","216.27K","-0.69%"
"Nov 23, 2020","609.08","560.39","609.08","560.39","371.19K","8.71%"
"Nov 22, 2020","560.29","552.59","560.29","524.28","373.98K","1.46%"
"Nov 21, 2020","552.23","510.02","552.23","510.02","354.65K","8.25%"
"Nov 20, 2020","510.14","471.10","511.65","471.10","405.19K","8.30%"
"Nov 19, 2020","471.06","478.33","478.33","468.17","249.21K","-1.52%"
"Nov 18, 2020","478.33","482.14","482.14","473.98","326.85K","-0.79%"
"Nov 17, 2020","482.14","460.46","482.14","460.46","312.32K","4.73%"
"Nov 16, 2020","460.35","448.17","460.35","448.17","275.63K","2.72%"
"Nov 15, 2020","448.17","461.19","461.19","443.72","248.87K","-2.93%"
"Nov 12, 2020","461.67","463.19","463.19","458.37","279.49K","-0.33%"
"Nov 11, 2020","463.19","450.31","463.25","450.31","337.26K","2.86%"
"Nov 10, 2020","450.32","444.45","452.16","444.45","313.61K","1.39%"
"Nov 09, 2020","444.14","454.60","455.99","444.14","303.64K","-2.30%"
"Nov 08, 2020","454.60","435.05","454.60","435.05","331.09K","4.49%"
"Nov 07, 2020","435.05","455.83","462.24","435.05","430.85K","-4.53%"
"Nov 06, 2020","455.71","416.77","455.71","416.77","454.44K","9.37%"
"Nov 05, 2020","416.67","402.35","416.97","398.24","368.74K","3.60%"
"Nov 04, 2020","402.17","387.80","402.17","380.83","305.15K","3.71%"
"Nov 03, 2020","387.80","383.07","387.80","382.88","285.76K","1.21%"
"Nov 02, 2020","383.15","396.52","397.53","383.15","383.59K","-3.37%"
"Nov 01, 2020","396.52","386.36","396.52","386.36","200.40K","2.59%"
"Oct 31, 2020","386.52","382.53","386.52","382.53","242.63K","1.07%"
"Oct 30, 2020","382.40","387.15","387.15","382.40","324.52K","-1.23%"
"Oct 29, 2020","387.16","388.30","390.27","387.16","336.25K","-0.32%"
"Oct 28, 2020","388.39","403.45","407.25","384.79","365.37K","-3.73%"
"Oct 27, 2020","403.45","392.77","403.45","392.77","329.51K","2.72%"
"Oct 26, 2020","392.76","406.00","408.30","392.76","342.75K","-3.26%"
"Oct 25, 2020","406.01","412.16","412.16","406.01","211.67K","-1.49%"
"Oct 24, 2020","412.17","409.11","412.85","409.11","227.57K","0.73%"
"Oct 23, 2020","409.20","414.02","415.37","409.20","336.93K","-1.15%"
"Oct 22, 2020","413.94","390.50","416.94","390.50","506.43K","5.92%"
"Oct 21, 2020","390.80","368.56","390.80","368.56","476.21K","6.03%"
"Oct 20, 2020","368.56","379.33","379.33","368.56","349.14K","-2.83%"
"Oct 19, 2020","379.30","378.02","379.71","373.60","281.10K","0.34%"
"Oct 18, 2020","378.02","368.40","378.02","368.40","204.80K","2.58%"
"Oct 17, 2020","368.51","365.49","368.51","365.49","201.05K","0.85%"
"Oct 16, 2020","365.41","377.70","377.70","365.41","328.67K","-3.25%"
"Oct 15, 2020","377.67","378.70","378.70","376.77","370.04K","-0.27%"
"Oct 14, 2020","378.70","381.24","382.14","375.90","338.00K","-0.66%"
"Oct 13, 2020","381.24","386.45","386.45","379.87","361.53K","-1.35%"
"Oct 12, 2020","386.45","374.21","386.45","374.21","348.84K","3.28%"
"Oct 11, 2020","374.16","370.68","374.16","370.28","219.07K","0.94%"
"Oct 10, 2020","370.68","364.98","373.49","364.98","309.12K","1.54%"
"Oct 09, 2020","365.06","350.89","366.80","349.59","305.95K","4.06%"
"Oct 08, 2020","350.80","341.66","351.64","339.38","263.32K","2.69%"
"Oct 07, 2020","341.61","341.04","341.81","337.42","253.82K","0.17%"
"Oct 06, 2020","341.04","353.54","353.54","341.04","244.79K","-3.49%"
"Oct 05, 2020","353.37","352.36","353.37","350.86","203.34K","0.29%"
"Oct 04, 2020","352.36","345.90","352.36","345.90","192.77K","1.87%"
"Oct 03, 2020","345.90","345.58","346.85","345.58","195.55K","0.09%"
"Oct 02, 2020","345.58","352.51","352.51","339.15","377.82K","-2.12%"
"Oct 01, 2020","353.05","359.65","367.63","352.30","305.55K","-1.87%"
"Sep 30, 2020","359.78","359.81","359.81","355.27","224.03K","-0.01%"
"Sep 29, 2020","359.82","353.99","359.82","353.35","263.45K","1.68%"
"Sep 28, 2020","353.89","357.73","364.43","353.89","288.03K","-1.00%"
"Sep 27, 2020","357.48","353.95","360.74","351.44","331.55K","0.99%"
"Sep 26, 2020","353.96","351.86","353.96","351.20","370.79K","0.60%"
"Sep 25, 2020","351.86","349.19","354.08","343.51","299.88K","0.76%"
"Sep 24, 2020","349.19","320.54","349.19","320.54","305.79K","9.09%"
"Sep 23, 2020","320.10","344.25","344.25","320.10","299.25K","-7.00%"
"Sep 22, 2020","344.20","340.19","344.20","340.19","300.95K","1.20%"
"Sep 21, 2020","340.13","371.06","374.39","340.13","419.43K","-8.34%"
"Sep 20, 2020","371.06","385.15","385.15","368.18","249.11K","-3.66%"
"Sep 19, 2020","385.17","384.23","385.59","383.35","202.99K","0.25%"
"Sep 18, 2020","384.23","389.42","389.42","384.23","382.65K","-1.32%"
"Sep 17, 2020","389.36","365.04","392.60","365.04","625.96K","6.71%"
"Sep 16, 2020","364.87","364.11","365.76","359.88","402.13K","0.21%"
"Sep 15, 2020","364.10","377.17","378.08","364.10","362.35K","-3.45%"
"Sep 14, 2020","377.13","366.29","377.13","365.63","438.77K","3.00%"
"Sep 13, 2020","366.14","387.84","387.84","366.14","411.44K","-5.64%"
"Sep 12, 2020","388.01","373.55","388.01","367.63","312.16K","3.87%"
"Sep 11, 2020","373.56","367.92","373.56","357.45","391.26K","1.53%"
"Sep 10, 2020","367.92","350.78","373.31","350.78","559.86K","4.88%"
"Sep 09, 2020","350.81","337.38","354.15","335.40","420.55K","3.91%"
"Sep 08, 2020","337.61","353.78","353.78","336.88","463.93K","-4.51%"
"Sep 07, 2020","353.53","352.70","355.80","327.61","492.65K","0.25%"
"Sep 06, 2020","352.65","335.18","352.65","335.18","628.06K","5.23%"
"Sep 05, 2020","335.11","385.48","386.61","335.11","608.03K","-13.07%"
"Sep 04, 2020","385.47","381.42","385.47","381.42","440.32K","1.11%"
"Sep 03, 2020","381.25","439.47","443.15","381.25","573.83K","-13.30%"
"Sep 02, 2020","439.75","475.94","475.94","436.34","611.64K","-7.61%"
"Sep 01, 2020","475.95","434.06","475.95","434.06","620.43K","9.65%"
"Aug 31, 2020","434.06","428.82","434.06","423.67","480.03K","1.23%"
"Aug 30, 2020","428.77","399.00","428.77","399.00","396.19K","7.46%"
"Aug 29, 2020","399.00","395.10","403.43","395.10","285.79K","0.91%"
"Aug 28, 2020","395.39","383.22","395.58","381.42","340.61K","3.18%"
"Aug 27, 2020","383.22","385.77","385.77","383.22","360.92K","-0.68%"
"Aug 26, 2020","385.85","383.00","389.74","383.00","347.66K","0.73%"
"Aug 25, 2020","383.05","407.74","407.74","383.05","458.98K","-6.09%"
"Aug 24, 2020","407.90","390.65","407.90","390.65","390.44K","4.43%"
"Aug 23, 2020","390.58","395.28","395.28","389.66","245.32K","-1.19%"
"Aug 22, 2020","395.30","388.02","395.30","388.02","351.29K","1.92%"
"Aug 21, 2020","387.86","415.71","415.71","386.55","349.88K","-6.70%"
"Aug 20, 2020","415.71","407.33","415.71","407.33","326.75K","2.00%"
"Aug 19, 2020","407.56","422.01","422.01","405.33","412.24K","-3.43%"
"Aug 18, 2020","422.02","430.71","432.21","422.02","297.93K","-2.01%"
"Aug 17, 2020","430.70","433.54","433.54","427.16","318.42K","-0.66%"
"Aug 16, 2020","433.58","432.21","433.58","419.92","341.72K","0.34%"
"Aug 15, 2020","432.09","437.87","438.05","432.08","345.49K","-1.32%"
"Aug 14, 2020","437.87","424.64","442.44","422.46","457.56K","3.19%"
"Aug 13, 2020","424.35","387.17","424.35","381.92","555.58K","9.64%"
"Aug 12, 2020","387.04","379.05","387.04","374.26","409.60K","2.11%"
"Aug 11, 2020","379.05","395.37","395.37","379.05","428.34K","-4.14%"
"Aug 10, 2020","395.40","390.07","395.40","390.07","343.96K","1.30%"
"Aug 09, 2020","390.33","396.61","396.61","388.49","335.74K","-1.63%"
"Aug 08, 2020","396.78","379.33","396.78","378.98","346.29K","4.59%"
"Aug 07, 2020","379.39","394.80","394.80","378.64","477.95K","-3.90%"
"Aug 06, 2020","394.79","400.65","400.65","394.79","379.79K","-1.48%"
"Aug 05, 2020","400.74","389.67","400.83","387.92","458.69K","2.84%"
"Aug 04, 2020","389.66","385.85","391.89","385.85","560.32K","1.03%"
"Aug 03, 2020","385.70","372.03","389.73","372.03","575.17K","3.67%"
"Aug 02, 2020","372.03","387.05","387.13","360.24","678.09K","-3.87%"
"Aug 01, 2020","386.99","346.37","386.99","346.37","596.74K","11.73%"
"Jul 31, 2020","346.38","334.70","346.38","334.70","537.32K","3.49%"
"Jul 30, 2020","334.70","317.65","340.38","316.39","435.59K","5.30%"
"Jul 29, 2020","317.86","316.77","323.79","315.11","420.32K","0.32%"
"Jul 28, 2020","316.86","321.94","321.94","313.88","517.36K","-1.56%"
"Jul 27, 2020","321.88","311.04","325.21","311.04","578.69K","3.48%"
"Jul 26, 2020","311.04","305.16","316.51","300.83","598.48K","1.92%"
"Jul 25, 2020","305.18","279.17","305.18","279.17","535.82K","9.35%"
"Jul 24, 2020","279.08","275.39","281.57","269.68","493.45K","1.35%"
"Jul 23, 2020","275.36","263.78","275.36","263.66","491.27K","4.39%"
"Jul 22, 2020","263.78","245.45","263.78","243.30","272.91K","7.47%"
"Jul 21, 2020","245.45","236.02","245.45","236.02","301.36K","4.00%"
"Jul 20, 2020","236.01","239.00","239.07","236.01","170.83K","-1.18%"
"Jul 19, 2020","238.84","235.72","238.84","233.85","155.19K","1.32%"
"Jul 18, 2020","235.72","232.80","235.72","232.80","135.87K","1.25%"
"Jul 17, 2020","232.80","233.68","233.68","232.80","155.26K","-0.37%"
"Jul 16, 2020","233.66","238.57","238.57","230.50","206.96K","-2.06%"
"Jul 15, 2020","238.57","240.44","240.44","238.45","143.01K","-0.78%"
"Jul 14, 2020","240.46","239.72","240.54","238.26","208.87K","0.31%"
"Jul 13, 2020","239.71","242.80","244.79","239.71","264.57K","-1.18%"
"Jul 12, 2020","242.57","239.15","242.57","238.48","176.19K","1.44%"
"Jul 11, 2020","239.13","241.31","241.31","238.82","127.72K","-0.84%"
"Jul 10, 2020","241.16","242.04","242.04","239.71","180.46K","-0.36%"
"Jul 09, 2020","242.04","246.84","247.14","240.32","210.24K","-1.95%"
"Jul 08, 2020","246.84","239.36","246.84","239.36","319.56K","3.13%"
"Jul 07, 2020","239.36","241.48","242.45","237.38","209.58K","-0.88%"
"Jul 06, 2020","241.48","227.54","241.48","227.54","377.03K","5.96%"
"Jul 05, 2020","227.91","229.10","229.65","223.83","192.36K","-0.52%"
"Jul 04, 2020","229.10","224.96","230.48","224.62","185.04K","1.83%"
"Jul 03, 2020","224.99","226.47","228.02","224.35","157.26K","-0.64%"
"Jul 02, 2020","226.44","231.00","231.98","223.21","253.10K","-1.90%"
"Jul 01, 2020","230.84","225.59","232.13","224.26","227.70K","2.32%"
"Jun 30, 2020","225.59","228.01","228.53","223.00","190.92K","-1.00%"
"Jun 29, 2020","227.86","224.96","229.85","221.39","237.30K","1.28%"
"Jun 28, 2020","224.97","220.98","227.75","218.05","225.03K","1.80%"
"Jun 27, 2020","220.98","229.78","231.22","216.65","226.09K","-3.72%"
"Jun 26, 2020","229.53","232.58","233.51","228.04","232.71K","-1.31%"
"Jun 25, 2020","232.58","234.81","235.31","227.78","238.15K","-0.94%"
"Jun 24, 2020","234.79","242.98","249.05","231.43","423.80K","-3.37%"
"Jun 23, 2020","242.98","243.23","244.66","240.97","233.28K","-0.10%"
"Jun 22, 2020","243.23","228.07","246.55","227.72","402.13K","6.64%"
"Jun 21, 2020","228.09","228.80","231.20","227.35","144.39K","-0.31%"
"Jun 20, 2020","228.80","229.03","230.76","226.07","135.34K","-0.10%"
"Jun 19, 2020","229.03","231.39","231.89","226.83","238.35K","-1.02%"
"Jun 18, 2020","231.39","233.78","234.49","228.11","177.45K","-1.02%"
"Jun 17, 2020","233.78","235.26","237.11","228.16","248.33K","-0.63%"
"Jun 16, 2020","235.26","230.82","235.87","228.83","268.66K","1.92%"
"Jun 15, 2020","230.82","231.83","233.45","218.74","428.60K","-0.44%"
"Jun 14, 2020","231.82","238.12","238.49","230.09","192.99K","-2.64%"
"Jun 13, 2020","238.10","237.54","238.55","234.71","163.22K","0.24%"
"Jun 12, 2020","237.54","230.37","239.25","228.49","313.67K","3.12%"
"Jun 11, 2020","230.36","247.70","249.81","226.55","420.50K","-7.00%"
"Jun 10, 2020","247.69","243.74","249.74","241.99","193.30K","1.62%"
"Jun 09, 2020","243.74","246.34","249.55","239.34","225.96K","-1.05%"
"Jun 08, 2020","246.34","244.56","247.53","241.07","214.80K","0.72%"
"Jun 07, 2020","244.57","241.93","244.95","235.12","308.97K","1.05%"
"Jun 06, 2020","242.03","240.23","244.53","238.06","223.18K","0.74%"
"Jun 05, 2020","240.24","243.20","247.73","239.42","292.30K","-1.26%"
"Jun 04, 2020","243.31","244.53","246.54","236.40","240.40K","-0.49%"
"Jun 03, 2020","244.50","237.77","245.01","233.61","558.77K","2.78%"
"Jun 02, 2020","237.88","248.28","253.50","225.99","1.06M","-4.05%"
"Jun 01, 2020","247.92","231.61","249.99","230.75","1.02M","7.00%"
"May 31, 2020","231.69","243.65","245.45","230.18","1.19M","-4.89%"
"May 30, 2020","243.60","221.06","246.74","218.80","1.48M","10.39%"
"May 29, 2020","220.67","220.27","224.56","217.74","983.86K","0.19%"
"May 28, 2020","220.26","208.30","220.52","204.71","846.85K","5.77%"
"May 27, 2020","208.24","200.89","208.34","200.82","673.19K","3.62%"
"May 26, 2020","200.96","204.08","204.98","197.00","563.31K","-1.54%"
"May 25, 2020","204.09","199.73","205.54","198.24","628.09K","2.22%"
"May 24, 2020","199.67","206.62","210.47","199.67","845.53K","-3.35%"
"May 23, 2020","206.58","207.25","211.06","204.85","644.90K","-0.33%"
"May 22, 2020","207.25","198.76","209.07","196.44","862.43K","4.25%"
"May 21, 2020","198.80","209.98","211.66","192.05","1.01M","-5.32%"
"May 20, 2020","209.96","214.60","215.41","206.69","782.18K","-2.16%"
"May 19, 2020","214.60","214.95","215.76","209.68","837.94K","-0.14%"
"May 18, 2020","214.90","207.01","216.95","207.01","1.09M","3.82%"
"May 17, 2020","206.99","200.47","209.84","199.77","787.15K","3.22%"
"May 16, 2020","200.54","194.74","203.22","193.51","829.93K","2.92%"
"May 15, 2020","194.85","203.30","204.07","192.31","612.77K","-4.19%"
"May 14, 2020","203.36","200.04","205.95","195.80","861.78K","1.90%"
"May 13, 2020","199.57","189.77","200.85","188.55","674.72K","5.15%"
"May 12, 2020","189.79","185.77","192.07","185.60","698.71K","2.18%"
"May 11, 2020","185.74","187.60","193.31","176.43","911.56K","-1.04%"
"May 10, 2020","187.69","210.05","210.05","180.63","1.21M","-10.64%"
"May 09, 2020","210.05","211.43","214.48","208.55","834.16K","-0.63%"
"May 08, 2020","211.37","211.95","216.27","207.17","1.04M","-0.24%"
"May 07, 2020","211.88","198.70","214.65","197.31","1.20M","6.49%"
"May 06, 2020","198.96","205.33","210.57","198.48","957.87K","-3.08%"
"May 05, 2020","205.29","206.53","211.57","201.44","818.14K","-0.62%"
"May 04, 2020","206.59","209.88","210.53","195.01","1.29M","-1.53%"
"May 03, 2020","209.79","214.08","218.88","205.30","928.37K","-1.91%"
"May 02, 2020","213.88","212.01","215.20","210.40","616.73K","0.90%"
"May 01, 2020","211.99","206.38","216.99","206.07","1.20M","2.81%"
"Apr 30, 2020","206.18","215.40","227.04","202.37","1.68M","-4.25%"
"Apr 29, 2020","215.34","196.25","218.60","196.25","1.43M","9.59%"
"Apr 28, 2020","196.50","196.28","197.49","192.35","850.83K","0.11%"
"Apr 27, 2020","196.28","197.36","198.88","190.16","1.06M","-0.55%"
"Apr 26, 2020","197.36","194.00","199.69","192.42","1.09M","1.61%"
"Apr 25, 2020","194.24","187.61","197.94","185.97","1.17M","3.60%"
"Apr 24, 2020","187.49","185.54","189.64","183.45","949.02K","1.08%"
"Apr 23, 2020","185.49","182.74","193.47","178.32","1.62M","1.50%"
"Apr 22, 2020","182.76","170.76","183.84","169.93","1.67M","7.03%"
"Apr 21, 2020","170.74","170.27","174.60","168.24","1.49M","0.23%"
"Apr 20, 2020","170.35","179.98","186.32","167.18","2.21M","-5.38%"
"Apr 19, 2020","180.04","187.53","188.24","176.21","1.57M","-3.96%"
"Apr 18, 2020","187.45","170.66","189.38","170.58","1.62M","9.79%"
"Apr 17, 2020","170.74","172.33","174.81","168.54","1.44M","-0.89%"
"Apr 16, 2020","172.26","152.60","174.58","148.67","2.08M","12.76%"
"Apr 15, 2020","152.77","158.45","161.17","152.11","1.28M","-3.62%"
"Apr 14, 2020","158.51","156.29","161.76","155.48","1.23M","1.42%"
"Apr 13, 2020","156.29","158.55","158.87","150.12","1.26M","-1.44%"
"Apr 12, 2020","158.56","158.29","164.76","155.01","1.09M","0.17%"
"Apr 11, 2020","158.29","157.86","161.10","154.00","953.81K","0.29%"
"Apr 10, 2020","157.83","169.63","170.07","152.32","1.56M","-7.01%"
"Apr 09, 2020","169.74","173.10","173.34","165.74","1.20M","-1.94%"
"Apr 08, 2020","173.10","164.59","174.39","163.61","1.68M","5.15%"
"Apr 07, 2020","164.62","171.30","176.07","162.63","2.34M","-3.94%"
"Apr 06, 2020","171.38","142.64","171.67","142.61","2.22M","20.15%"
"Apr 05, 2020","142.63","144.13","145.52","140.85","757.45K","-0.98%"
"Apr 04, 2020","144.05","141.31","146.12","139.02","867.66K","1.91%"
"Apr 03, 2020","141.35","141.26","146.58","137.90","1.34M","0.03%"
"Apr 02, 2020","141.32","135.65","149.41","135.10","1.55M","4.22%"
"Apr 01, 2020","135.60","132.79","136.63","128.76","881.05K","2.10%"
